latitude,longitude,date,utc_time,altitude,speed,course,signal_quality,distance
37.996351,23.818883,060225,11:00AM,287,0.45,0.0,20,98.89
37.996353,23.818885,060225,11:00AM,286,0.85,0.0,20,98.18
37.996354,23.818886,060225,11:00AM,285,0.73,0.0,21,96.95
37.996356,23.818888,060225,11:00AM,285,0.04,0.0,21,95.74
37.996358,23.81889,060225,11:00AM,287,0.1,0.0,20,94.96
37.99636,23.818892,060225,11:00AM,285,0.87,0.0,21,94.24
37.996362,23.818894,060225,11:00AM,286,0.3,0.0,23,92.86
37.996363,23.818895,060225,11:00AM,286,0.79,0.0,19,91.65
37.996365,23.818897,060225,11:00AM,285,0.06,0.0,21,90.3
37.996367,23.818899,060225,11:00AM,285,0.12,0.0,23,89.19
37.996369,23.818901,060225,11:00AM,287,0.59,0.0,23,88.32
37.996371,23.818903,060225,11:00AM,285,0.34,0.0,21,86.88
37.996372,23.818904,060225,11:00AM,285,0.14,0.0,23,86.02
37.996374,23.818906,060225,11:00AM,287,0.81,0.0,22,85.42
37.996376,23.818908,060225,11:00AM,285,0.52,0.0,19,84.02
37.996378,23.81891,060225,11:00AM,287,0.18,0.0,22,83.52
37.99638,23.818912,060225,11:00AM,287,0.37,0.0,22,82.62
37.996381,23.818913,060225,11:00AM,286,0.79,0.0,19,82.09
37.996383,23.818915,060225,11:00AM,285,0.93,0.0,20,81.41
37.996385,23.818917,060225,11:00AM,285,0.69,0.0,20,79.97
37.996387,23.818919,060225,11:00AM,285,0.05,0.0,23,79.35
37.996389,23.818921,060225,11:00AM,286,0.06,0.0,20,78.67
37.99639,23.818922,060225,11:00AM,285,0.21,0.0,22,77.59
37.996392,23.818924,060225,11:00AM,285,0.3,0.0,21,76.58
37.996394,23.818926,060225,11:00AM,285,0.18,0.0,22,75.99
37.996396,23.818928,060225,11:00AM,286,0.53,0.0,22,75.21
37.996398,23.81893,060225,11:00AM,285,0.69,0.0,21,74.52
